ont,gene
SPATA_HypoxiaReactive,ISG15
SPATA_HypoxiaReactive,ENO1
SPATA_HypoxiaReactive,IFI6
SPATA_HypoxiaReactive,TMEM59
SPATA_HypoxiaReactive,GBP1
SPATA_HypoxiaReactive,CNN3
SPATA_HypoxiaReactive,CHI3L2
SPATA_HypoxiaReactive,BCAN
SPATA_HypoxiaReactive,H3F3A
SPATA_HypoxiaReactive,PPP1CB
SPATA_HypoxiaReactive,TMSB10
SPATA_HypoxiaReactive,GGCX
SPATA_HypoxiaReactive,DBI
SPATA_HypoxiaReactive,EEF1B2
SPATA_HypoxiaReactive,FN1
SPATA_HypoxiaReactive,IGFBP2
SPATA_HypoxiaReactive,IGFBP5
SPATA_HypoxiaReactive,PTMA
SPATA_HypoxiaReactive,TFRC
SPATA_HypoxiaReactive,CXCL10
SPATA_HypoxiaReactive,HMGB2
SPATA_HypoxiaReactive,SCRG1
SPATA_HypoxiaReactive,TGFBI
SPATA_HypoxiaReactive,HNRNPH1
SPATA_HypoxiaReactive,CANX
SPATA_HypoxiaReactive,RACK1
SPATA_HypoxiaReactive,TUBB2B
SPATA_HypoxiaReactive,HSPA1A
SPATA_HypoxiaReactive,HSPA1B
SPATA_HypoxiaReactive,VEGFA
SPATA_HypoxiaReactive,EEF1A1
SPATA_HypoxiaReactive,MARCKS
SPATA_HypoxiaReactive,CTGF
SPATA_HypoxiaReactive,ACTB
SPATA_HypoxiaReactive,TOMM7
SPATA_HypoxiaReactive,HNRNPA2B1
SPATA_HypoxiaReactive,IGFBP3
SPATA_HypoxiaReactive,SEC61G
SPATA_HypoxiaReactive,CHCHD2
SPATA_HypoxiaReactive,GTF2I
SPATA_HypoxiaReactive,COL1A2
SPATA_HypoxiaReactive,HILPDA
SPATA_HypoxiaReactive,TMSB4X
SPATA_HypoxiaReactive,SAT1
SPATA_HypoxiaReactive,PGK1
SPATA_HypoxiaReactive,CTSB
SPATA_HypoxiaReactive,FABP5
SPATA_HypoxiaReactive,NDRG1
SPATA_HypoxiaReactive,HSPA5
SPATA_HypoxiaReactive,CTSD
SPATA_HypoxiaReactive,NAP1L4
SPATA_HypoxiaReactive,LDHA
SPATA_HypoxiaReactive,FAU
SPATA_HypoxiaReactive,CRYAB
SPATA_HypoxiaReactive,CCND2
SPATA_HypoxiaReactive,VWF
SPATA_HypoxiaReactive,CD9
SPATA_HypoxiaReactive,GAPDH
SPATA_HypoxiaReactive,TPI1
SPATA_HypoxiaReactive,C1R
SPATA_HypoxiaReactive,A2M
SPATA_HypoxiaReactive,MGP
SPATA_HypoxiaReactive,TUBA1A
SPATA_HypoxiaReactive,MYL6
SPATA_HypoxiaReactive,NACA
SPATA_HypoxiaReactive,DCN
SPATA_HypoxiaReactive,HSP90B1
SPATA_HypoxiaReactive,UBC
SPATA_HypoxiaReactive,TPT1
SPATA_HypoxiaReactive,COL4A1
SPATA_HypoxiaReactive,COL4A2
SPATA_HypoxiaReactive,IFI27
SPATA_HypoxiaReactive,SERF2
SPATA_HypoxiaReactive,PKM
SPATA_HypoxiaReactive,IQCK
SPATA_HypoxiaReactive,MT2A
SPATA_HypoxiaReactive,MT1X
SPATA_HypoxiaReactive,SLC7A5
SPATA_HypoxiaReactive,CCL2
SPATA_HypoxiaReactive,CCL3
SPATA_HypoxiaReactive,CCL4
SPATA_HypoxiaReactive,CCL4L2
SPATA_HypoxiaReactive,EIF1
SPATA_HypoxiaReactive,H3F3B
SPATA_HypoxiaReactive,ACTG1
SPATA_HypoxiaReactive,P4HB
SPATA_HypoxiaReactive,UBE2C
SPATA_HypoxiaReactive,CIRBP
SPATA_HypoxiaReactive,ANGPTL4
SPATA_HypoxiaReactive,DNAJB1
SPATA_HypoxiaReactive,BST2
SPATA_HypoxiaReactive,UBA52
SPATA_HypoxiaReactive,HAMP
SPATA_HypoxiaReactive,TIMP3
SPATA_HypoxiaReactive,LGALS1
SPATA_HypoxiaReactive,MX1
SPATA_ImmuneReaktive,MT3
SPATA_ImmuneReaktive,FTL
SPATA_ImmuneReaktive,SPARC
SPATA_ImmuneReaktive,B2M
SPATA_ImmuneReaktive,SPP1
SPATA_ImmuneReaktive,CLU
SPATA_ImmuneReaktive,S100A6
SPATA_ImmuneReaktive,VIM
SPATA_ImmuneReaktive,HLA-B
SPATA_ImmuneReaktive,S100A10
SPATA_ImmuneReaktive,TIMP1
SPATA_ImmuneReaktive,APOC1
SPATA_ImmuneReaktive,CD74
SPATA_ImmuneReaktive,IGFBP7
SPATA_ImmuneReaktive,GFAP
SPATA_ImmuneReaktive,PTPRZ1
SPATA_ImmuneReaktive,AQP1
SPATA_ImmuneReaktive,PTN
SPATA_ImmuneReaktive,SOD2
SPATA_ImmuneReaktive,CD63
SPATA_ImmuneReaktive,APOE
SPATA_ImmuneReaktive,HLA-A
SPATA_ImmuneReaktive,CD99
SPATA_ImmuneReaktive,CD81
SPATA_ImmuneReaktive,IFITM3
SPATA_ImmuneReaktive,CD44
SPATA_ImmuneReaktive,CHI3L1
SPATA_ImmuneReaktive,S100A11
SPATA_ImmuneReaktive,C1QB
SPATA_ImmuneReaktive,ID3
SPATA_ImmuneReaktive,HLA-DRA
SPATA_ImmuneReaktive,PON2
SPATA_ImmuneReaktive,NPC2
SPATA_ImmuneReaktive,HLA-C
SPATA_ImmuneReaktive,GJA1
SPATA_ImmuneReaktive,ATP1B2
SPATA_ImmuneReaktive,TREM2
SPATA_ImmuneReaktive,SSFA2
SPATA_OPC,FTH1
SPATA_OPC,PLP1
SPATA_OPC,PTGDS
SPATA_OPC,MBP
SPATA_OPC,CNP
SPATA_OPC,RNASE1
SPATA_OPC,APLP1
SPATA_OPC,FEZ1
SPATA_OPC,MAG
SPATA_OPC,PLEKHB1
SPATA_OPC,APOD
SPATA_OPC,CLDND1
SPATA_OPC,TF
